English,inuktitut
Have you read Tom's new book?," , ᐅᖃᓕᒫᖅᓯᒪᕕᐅᒃ , ᑖᒻ , ᓄᑖᖅ , ᐅᖃᓕᒫᒐᖓ?"
Have you read Tom's will?," , ᐅᖃᓕᒫᖅᓯᒪᕕᐅᒃ , ᑖᒻ?"
Have you read any interesting books lately?," , ᐅᖃᓕᒫᖅᓯᒪᕖᑦ , ᑐᓴᕈᒥᓇᖅᑐᓂᑦ , ᐅᖃᓕᒫᒐᕐᓂᑦ?"
Have you read any interesting books recently?," , ᐅᖃᓕᒫᓵᖅᓯᒪᕖᑦ , ᑐᓴᕈᒥᓇᖅᑐᓂᒃ , ᐅᖃᓕᒫᒐᕐᓂᒃ?"
Have you read my list of demands?," , ᐅᖃᓕᒫᖅᓯᒪᕕᒋᑦ , ᑎᑎᕋᖅᓯᒪᔭᒃᑲ , ᐱᔭᐅᔪᒪᓯᒪᔪᑦ?"
Have you read that book?," , ᐅᖃᓕᒫᖅᓯᒪᕕᐅᒃ , ᑖᓐᓇ , ᐅᖃᓕᒫᒐᖅ?"
Have you read the book yet?," , ᐅᖃᓕᒫᓚᐅᖅᐱᐅᒃ , ᓱᓕ , ᐅᖃᓕᒫᒐᖅ?"
Have you read the report?," , ᐅᖃᓕᒫᖅᓯᒪᕕᐅᒃ , ᐅᓂᒃᑳᖅ?"
Have you read the rules?," , ᐅᖃᓕᒫᖅᓯᒪᕕᒋᑦ , ᒪᓕᒐᐃᑦ?"
Have you read the whole book?," , ᐅᖃᓕᒫᖅᓯᒪᕕᐅᒃ , ᐅᖃᓕᒫᒐᓕᒫᖅ?"
Have you read this article?," , ᑖᓐᓇ , ᐅᖃᓕᒫᖅᓯᒪᕕᐅᒃ?"
Have you read this book already?," , ᑖᓐᓇ , ᐅᖃᓕᒫᕇᖅᓯᒪᓕᖅᑭᓯᐅᒃ?"
Have you read this book yet?," , ᑖᓐᓇ , ᐅᖃᓕᒫᒐᖅ , ᐅᖃᓕᒫᓚᐅᖅᐱᐅᒃ?"
Have you read this?," , ᑕᒪᓐᓇ , ᐅᖃᓕᒫᖅᓯᒪᕕᐅᒃ?"
Have you read today's paper yet?," , ᐅᖃᓕᒫᖅᓯᒪᓕᖅᐱᒋᑦ , ᐅᓪᓗᒥ , ᐸᐃᑉᐹᖅ?"
Have you read today's paper?," , ᐅᖃᓕᒫᖅᑲᐅᕕᐅᒃ , ᐅᓪᓗᒥ , ᐸᐃᑉᐹᖅ?"
Have you really been looking for a job?," , ᐃᖅᑲᓇᐃᔮᒃᓴᖅᓯᐅᖅᓯᒪᓪᓚᕆᑉᐲᑦ?"
Have you recovered from the shock?," , ᖁᒃᓴᓪᓚᒃᓯᒪᓕᖅᐲᑦ?"
Have you reserved a table?," , ᑭᐳᒥᒃ , ᓴᓂᕐᕙᐃᓯᒪᕖᑦ?"
Have you seen Tom dance?," , ᑕᑯᓚᐅᖅᐱᐅᒃ , ᑖᒻ , ᒧᒥᕐᓂᖅ?"
Have you seen Tom this morning?," , ᑖᒻ , ᑕᑯᖅᑲᐅᕕᐅᒃ , ᐅᓪᓛᖅ?"
Have you seen Tom's new house?," , ᑕᑯᓯᒪᕕᐅᒃ , ᑖᒻᐅᑉ , ᓄᑖᖅ , ᐃᒡᓗ?"
Have you seen Tom's passport?," , ᑕᑯᓯᒪᕕᐅᒃ , ᑖᒻ , ᑲᓇᑕᐅᑉ , ᓯᓚᑖᓅᕈᓐᓇᐅᑎ?"
Have you seen Tom's room?," , ᑕᑯᖅᑲᐅᕕᐅᒃ , ᑖᒻ , ᐃᒡᓗᕈᓯᖅ?"
Have you seen Tom?," , ᑖᒻ , ᑕᑯᖅᑲᐅᕕᐅᒃ?"
Have you seen all these movies?," , ᑖᒃᑯᐊ , ᑕᕐᕆᔭᐃᑦ , ᑕᑯᔭᐃᓐᓇᕆᓯᒪᕕᓯᐅᒃ?"
Have you seen any good movies recently?," , ᑕᑯᓚᐅᖅᐲᑦ , ᑕᕐᕆᔮᒃᓴᑦᑎᐊᕙᖕᓂᑦ?"
Have you seen her?," , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen it?," , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen my bottle?," , ᑕᑯᓚᐅᖅᐱᐅᒃ , ᐊᒫᒪᐅᑎᒐ?"
Have you seen my camera?," , ᐊᔾᔨᓕᐅᕈᑎᒐ , ᑕᑯᓚᐅᖅᐱᐅᒃ?"
Have you seen my father?," , ᐊᑖᑕᒐ , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen my friend?," , ᐱᖃᓐᓇᕆᔭᕋ , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen my passport?," , ᑲᓇᑕᐅᑉ , ᓯᓚᑖᓅᕈᓐᓇᐅᑎᒐ , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen my pen?," , ᑕᑯᓚᐅᖅᐱᐅᒃ , ᑎᑎᕋᐅᑎᒐ?"
Have you seen my phone?," , ᑕᑯᓚᐅᖅᐱᐅᒃ , ᐅᖃᓘᑎᒐ?"
Have you seen my report?," , ᑕᑯᓯᒪᕕᐅᒃ , ᐅᓂᒃᑳᕋ?"
Have you seen my son?," , ᐃᕐᓂᕋ , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen my wife?," , ᑕᑯᓚᐅᖅᐱᐅᒃ , ᓄᓕᐊᕋ?"
Have you seen that movie?," , ᑖᓐᓇ , ᑕᕐᕆᔭᖅ , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen the paper?," , ᑕᑯᓯᒪᕕᐅᒃ , ᐸᐃᑉᐹᖅ?"
Have you seen this before?," , ᑕᒪᓐᓇ , ᑕᑯᓚᐅᖅᓯᒪᕕᐅᒃ?"
Have you seen this man?," , ᑖᓐᓇ , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen this yet?," , ᑕᒪᓐᓇ , ᑕᑯᓯᒪᕕᐅᒃ , ᓱᓕ?"
Have you seen this?," , ᑕᒪᓐᓇ , ᑕᑯᓯᒪᕕᐅᒃ?"
Have you seen wolves around here?," , ᐊᒪᕈᐃᑦ , ᑕᑯᓯᒪᕕᒋᑦ , ᑕᒫᓂ?"
Have you sent Tom a Christmas card yet?," , ᑖᓐᓇ , ᑖᒻ , ᖁᕕᐊᓱᕝᕕᒻᒧᑦ , ᐊᐅᓪᓚᖅᑎᓚᐅᖅᐱᐅᒃ?"
Have you showered?," , ᐅᕕᓂᖕᓂᐊᖅᓯᒪᕖᑦ?"
Have you shown Tom your wedding pictures?," , ᑕᑯᑎᓚᐅᖅᐱᐅᒃ , ᑖᒻ , ᑲᑎᑎᑕᐅᕝᕕᒋᔭᑎᑦ , ᐊᔾᔨᙳᐊᖏᑦ?"
Have you signed the contract already?," , ᐊᑎᓕᐅᕇᓚᐅᖅᐱᐅᒃ , ᑳᓐᑐᕌ?"
Have you signed the contract?," , ᐊᑎᓕᐅᓚᐅᖅᐱᐅᒃ , ᑳᓐᑐᕌ?"
Have you solved all the problems yet?," , ᐊᑲᐅᙱᓕᐅᕈᑎᓕᒫᑦ , ᓱᓕ , ᐋᖅᑭᓚᐅᖅᐱᒋᑦ?"
Have you solved the problem yet?," , ᑕᒪᓐᓇ , ᐊᑲᐅᙱᓕᐅᕈᑕᐅᔪᖅ , ᐋᖅᑭᓚᐅᖅᐱᐅᒃ?"
Have you spoken to Tom?," , ᐅᖃᖃᑎᒋᓯᒪᕕᐅᒃ , ᑖᒻ?"
Have you started reading the book yet?," , ᐅᖃᓕᒫᕆᐊᓯᓚᐅᖅᐱᒌᑦ , ᓱᓕ , ᐅᖃᓕᒫᒐᕐᒥᑦ?"
Have you taken a bath yet?," , ᐅᕕᓂᓐᓂᐊᓚᐅᖅᓯᒪᕕᑦ , ᓱᓕ?"
Have you taken your medicine yet?," , ᐃᓅᓕᓴᐅᑎᑐᓚᐅᖅᐲᑦ , ᓱᓕ?"
Have you talked to Tom yet?," , ᐅᖃᖃᑎᒋᓯᒪᕕᐅᒃ , ᑖᒻ?"
Have you talked to Tom?," , ᐅᖃᖃᑎᒋᓯᒪᕕᐅᒃ , ᑖᒻ?"
Have you talked to a lawyer about this?," , ᐅᖃᖃᑎᖃᖅᓯᒪᕖᑦ , ᒪᓕᒐᓕᕆᔨᒥᒃ , ᑕᒪᑐᒪ , ᒥᒃᓵᓄᑦ?"
Have you thought about how Tom might feel about that?," , ᑕᒪᓐᓇ , ᐃᓱᒪᒋᓯᒪᕕᓯᐅᒃ , ᖃᓄᖅ , ᑖᒻ , ᑕᒪᓐᓇ.1 , ᐃᓱᒪᒋᔪᓐᓇᕐᒪᖔᑦ?"
Have you told Tom I'm here?," , ᐅᖃᐅᑎᓯᒪᕕᐅᒃ , ᑖᒻ , ᐅᕙᓃᒃᑲᒪ?"
Have you told Tom already?," , ᐅᖃᐅᑎᒌᖅᓯᒪᕕᐅᒃ , ᑖᒻ?"
Have you told Tom that I'm here?," , ᐅᖃᐅᑎᓯᒪᕕᐅᒃ , ᑖᒻ , ᐅᕙᓃᓐᓂᕋᖅᑐᖓ?"
Have you told Tom?," , ᐅᖃᐅᑎᓯᒪᕕᐅᒃ , ᑖᒻ?"
Have you told me everything?," , ᑭᓱᓕᒫᓂᒃ , ᐅᖃᐅᑎᓯᒪᕕᒋᑦ?"
Have you tried it before?," , ᐆᑦᑐᓚᐅᖅᓯᒪᕖᑦ?"
Have you tried sushi?," , ᐆᒃᑐᓚᐅᖅᓯᒪᕕᑦ , sushi−ᒥᒃ?"
Have you tried the chicken?," , ᐊᕿᒡᒋᖅᔪᐊᖅ , ᐆᒃᑐᓚᐅᖅᓯᒪᕕᐅᒃ?"
Have you understood everything?," , ᑭᓱᓕᒫᓂᒃ , ᑐᑭᓯᓯᒪᕕᓯ?"
Have you washed the car yet?," , ᓄᓇᓯᐅᑎ , ᓱᓕ , ᐅᐊᓴᓚᐅᖅᐱᐅᒃ?"
Have you worked out the answer yet?," , ᑭᐅᔭᐃᑦ , ᓱᓕ , ᐋᖅᑭᓚᐅᖅᐱᐅᒃ?"
Have you worked with Tom before?," , ᐱᓕᕆᖃᑎᒋᓚᐅᖅᓯᒪᕕᐅᒃ , ᑖᒻ?"
Have you wrapped all your Christmas presents?," , ᖁᕕᐊᓱᒡᕕᒃᓯᐅᑦᑎᐊᓚᐅᖅᐱᓯ?"
Have you written down the phone number?," , ᑎᑎᕋᓚᐅᖅᐱᐅᒃ , ᐅᖄᓚᐅᑎᐅᑉ , ᓈᓴᐅᑎᖓ?"
Haven't I seen you before?," , ᑕᑯᓚᐅᖅᓯᒪᙱᑖᒃᑭᑦ?"
Haven't I suffered enough?," , ᐊᒃᓱᕈᓗᐊᓚᐅᙱᓚᖓ?"
Haven't we learned anything?," , ᐃᓕᑦᑎᓚᐅᙱᓚᒍᑦ?"
Haven't we met before?," , ᑲᑎᓚᐅᖅᓯᒪᙱᓚᒍᑦ?"
Haven't you asked Tom why he didn't do that?," , ᐊᐱᕆᓚᐅᙱᓐᓇᕕᐅᒃ , ᑖᒻ , ᖃᓄᐃᒻᒪᑦ , ᑕᐃᒪᐃᓚᐅᙱᒻᒪᑦ?"
Haven't you been listening?," , ᓈᓚᓚᐅᙱᓐᓇᕕᑦ?"
Haven't you called the police yet?," , ᐸᓖᓯᒃᑯᓐᓄᑦ , ᐅᖄᓚᓚᐅᙱᓚᑎᑦ , ᓱᓕ?"
Haven't you decided yet?," , ᓱᓕ , ᐃᓱᒪᓕᐅᓚᐅᙱᓚᑏᑦ?"
Haven't you done your homework?," , ᐊᖏᕐᕋᕐᓂ , ᐃᓕᓐᓂᐊᕈᑎᑎᑦ , ᐱᓕᕆᐊᕆᓚᐅᙱᓐᓇᕕᒋᑦ?"
Haven't you ever considered doing that?," , ᑕᒪᓐᓇ , ᐃᓱᒪᒋᓚᐅᖅᓯᒪᓐᖏᓚᓯᐅᒃ?"
Haven't you ever done that?," , ᑕᐃᒪᐃᓚᐅᖅᓯᒪᓐᖏᓚᑎᑦ?"
Haven't you ever heard of Boston?," , ᐹᔅᑕᓐᒥᒃ , ᑐᓴᓚᐅᖅᓯᒪᙱᑉᐱᑦ?"
Haven't you had your dinner yet?," , ᓂᕆᓚᐅᙱᑉᐱᑦ , ᓱᓕ?"
Haven't you learned anything?," , ᐃᓕᑦᑎᓚᐅᙱᓚᑎᑦ?"
"Having a slight cold, I went to bed early."," , ᐃᒃᑮᕐᓇᒐᓚᑦᑐᖓ, , ᓯᓂᒋᐊᖅᑐᓕᓚᐅᕋᒪ."
Having money is good.," , ᑮᓇᐅᔭᖃᕐᓂᖅ , ᐱᐅᕗᖅ."
"Having read the book, I could answer all the questions."," , ᐅᖃᓕᒫᖅᓯᒪᓪᓗᒍ , ᐅᖃᓕᒫᒐᖅ, , ᑭᐅᔭᐃᓐᓇᕆᔪᓐᓇᖅᑕᒃᑲ , ᐊᐱᖅᑯᑎᓕᒫᑦ."
Hay is for horses.," , ᕼᐊᐃ , ᕼᐋᔅᒧᑦ."
He abandoned his family.," , ᕿᒪᐃᑐᐃᓐᓇᓚᐅᖅᑐᖅ , ᐃᓚᒥᓂᒃ."
He abandoned the idea.," , ᑕᒪᓐᓇ , ᖁᔭᓈᑐᐃᓐᓇᕋᑖᕐᒪᒍ."
He abandoned the plan.," , ᕿᒪᐃᑐᐃᓐᓇᕐᓂᕐᒪᑦ , ᐸᕐᓇᒍᑕᐅᔪᒥᒃ."
He abused our trust.," , ᐅᒃᐱᕆᔭᑦᑎᓐᓂᒃ , ᐊᑐᕐᓂᕐᓗᓚᐅᕐᒪᑦ."
He abuses his authority.," , ᐱᔪᓐᓇᐅᑎᒥᓂᒃ , ᐊᑐᕐᓂᓗᖃᑦᑕᖅᑐᖅ."
He accelerated.," , ᓱᒃᑲᒃᑎᒋᐊᓚᐅᖅᑐᖅ."
He accepted my idea.," , ᐃᓱᒪᒋᔭᕋ , ᐊᖏᖅᑲᐅᒻᒪᒍ."
He accepted my present.," , ᐊᖏᖅᑲᐅᒻᒪᑦ , ᐅᕙᖓ , ᐅᓪᓗᒥ."
He accepted the job.," , ᐊᖏᓚᐅᖅᑐᖅ , ᐃᖅᑲᓇᐃᔮᒥᒃ."
He accomplished his mission.," , ᑖᓐᓇ , ᐱᔭᕇᓚᐅᖅᑐᖅ."
He accused me of being a liar.," , ᐅᕙᓐᓂᒃ , ᓴᒡᓗᓂᕋᐃᓪᓗᓂ."
He accused us of wronging him.," , ᐸᓯᑦᑎᓚᐅᕐᒪᑦ , ᐅᕙᑦᑎᓐᓂᒃ , ᑕᒻᒪᕐᓂᕋᐃᓪᓗᓂ."
He achieved his goal.," , ᑖᓐᓇ , ᑐᕌᕋᓱᐊᖅᑕᖓ , ᑎᑭᒻᒪᑦ."
He acknowledged his fault.," , ᓇᓗᓇᐃᖅᑕᖓ , ᐱᒃᑲᖅᑎᓚᐅᖅᑕᖓ."
He acknowledged his faults.," , ᐃᓕᓴᕆᓚᐅᖅᐸᐅᒃ , ᐱᒃᑲᖅᑎᓯᒪᔭᖏᑦ."
He acknowledged it to be true.," , ᖃᐅᔨᒪᓚᐅᖅᑐᖅ , ᓱᓕᓂᖓᓂᒃ."
He acquired American citizenship.," , ᐊᒥᐊᓕᑲᒥᐅᓂᑦ , ᐱᓚᐅᖅᑐᖅ."
He acquired Russian quickly.," , ᐅᓛᓴᑖᑲᐅᖅᑐᓚᐅᖅᑐᖅ."
He acted as our guide.," , ᑖᓐᓇ , ᑕᓯᐅᖅᑎᐅᓚᐅᖅᑐᖅ."
He acted like he owned the place.," , ᓇᒻᒥᓂᕆᓚᐅᕐᒪᒍ."
He acted on my advice.," , ᑖᓐᓇ , ᐅᖃᐅᑎᓚᐅᕋᒃᑯ."
He acted quickly and put out the fire.," , ᑐᐊᕕᖅᑐᓂ , ᖃᒥᑦᑎᓪᓗᓂ."
He acts as if he were a king.," , ᑭᙴᒪᒋᔭᐅᑦᑕᖅᑐᖅ."
He acts quickly.," , ᐱᓕᕆᑲᐅᖅᑐᓲᖅ."
He adapted himself to his new life.," , ᐃᒻᒥᓂᒃ , ᓱᖏᐅᑎᓪᓗᓂ , ᓄᑖᒧᑦ , ᐃᓅᓯᖓᓄᑦ."
He added a little sugar and milk to his tea.," , ᓯᐅᕋᐅᔮᖅᑐᓕᖅᓯᓪᓗᓂ , ᐃᒻᒧᖕᒥᓪᓗ , ᑏᒧᑦ."
He added a little sugar to the coffee.," , ᓱᑲᖃᒐᓛᓚᐅᖅᑐᖅ , ᑳᐱᒧᑦ."
He addressed a large audience.," , ᐅᖃᐅᓯᖃᓚᐅᖅᑐᖅ , ᐃᓄᒋᐊᓂᒃ."
He admired my new car.," , ᐅᐱᒋᓕᓚᐅᕐᒪᒍ , ᓄᓇᓯᐅᑎᑖᕋ."
He admitted his defeat.," , ᓵᓚᐅᓂᕋᕐᖢᓂᐅᒃ."
He admitted his guilt.," , 1999-ᒥ , 2015-ᒥ, , 2"
He admitted his mistakes.," , ᑕᒻᒪᕐᓂᕐᒪᑦ."
He admitted that he stole the gold.," , ᐅᖃᖅᑐᓂ , ᒎᓗᒥᒃ , ᒎᓕᕐᓂᕋᖅᑐᓂ."
He admitted that he was guilty.," , ᐅᖃᖅᑐᓂ , ᐸᓯᔭᒃᓴᐅᓂᕋᑦᑐᓂ."
He admitted that it was true.," , ᐅᖃᖅᑐᓂ , ᓱᓕᓂᕋᑦᑐᓂᐅᒃ."
He adopted the orphan.," , ᑎᒍᐊᓚᐅᖅᑐᖅ , ᐃᓕᐊᕐᔪᒻᒥᑦ."
He adores his grandfather.," , ᐊᑖᑕᑦᓯᐊᒥᓂᒃ , ᐊᑖᑕᑦᓯᐊᒥᓂᒃ."
He advanced me a week's wages.," , ᐱᓇᓱᐊᕈᓯᓕᒫᒥᒃ , ᑮᓇᐅᔾᔭᒃᓵᖏᓐᓂᒃ , ᓯᕗᕙᕆᐊᖅᑎᓚᐅᖅᑖᖓ."
He advised me to go there.," , ᐅᖃᐅᑎᓚᐅᖅᐹᖓ , ᑕᐅᕗᙵᖁᔨᓪᓗᓂ."
He agreed with me.," , ᐊᖏᖃᑎᒋᓚᐅᖅᑖᖓ."
He agrees with my opinion.," , ᐅᕙᖓ , ᐃᓱᒪᒋᔭᖓ , ᐊᖏᖃᑎᒋᔭᕋ."
He also speaks French.," , ᐅᐃᕖᑎᑐᑦᑕᐅᖅ , ᐅᖃᓪᓚᓲᖑᒻᒥᔪᖅ."
He always borrows money from me.," , ᐅᕙᓐᓂᒃ , ᑮᓇᐅᔭᓂᒃ , ᐊᑐᖅᑐᐊᐃᓐᓇᐅᔭᕐᒪᑦ."
He always cries when he is drunk.," , ᕿᐊᖏᓐᓇᓲᖅ , ᐋᖓᔮᖅᑐᓂ."
He always goes to work at 8:00 a.m.," , ᐃᖅᑲᓇᐃᔭᕆᐊᖏᓐᓇᐅᔭᖅᑐᖅ , 8:00 , ᐅᓪᓛᒃᑯᑦ."
He always keeps his promises.," , ᓱᓕᓂᐊᕐᓂᕋᖅᑕᒥᓂᒃ , ᐱᓯᒪᐃᓐᓇᓲᖅ."
He always leaves for work at 8:00 a.m.," , 8:00-ᒧᐊᖅᐸᑦ , ᐅᓪᓛᒃᑯᑦ , ᐃᖅᑲᓇᐃᔭᙱᓐᓇᐅᔭᖅᐳᖅ."
He always quarrels with his wife.," , ᓄᓕᐊᒥᓂᒃ , ᐱᖃᑎᖃᐃᓐᓇᐅᔭᖅᑐᖅ."
He always says the same thing.," , ᑕᐃᒫᑦᓴᐃᓐᓇᖅ , ᐅᖃᐃᓐᓇᓲᖅ."
He always sings in the shower.," , ᐃᙱᐃᓐᓇᓲᖅ , ᐅᕕᓂᖕᓂᐊᕐᕕᖕᒥ."
He always sings while taking a shower.," , ᐃᙱᐃᓐᓇᓲᖅ , ᐅᕕᓂᖕᓂᐊᖅᑎᓪᓗᒍ."
He always studies hard.," , ᐊᒃᓱᕈᐃᓐᓇᓲᖅ."
He always tells the truth.," , ᓱᓕᔪᒥᑦ , ᐅᖃᐃᓐᓇᓲᖅ."
He always treats me like a child.," , ᓱᕈᓯᐅᖅᑰᔨᖃᑦᑕᖅᑐᖓ."
He always walks with a rifle.," , ᖁᑭᐅᓯᔭᐃᓐᓇᓲᖅ."
He always wanted to study Japanese.," , ᖃᐅᔨᓴᕈᒪᐃᓐᓇᖅᐸᓚᐅᖅᑐᖅ , ᔮᐸᓃᓯᒥᒃ."
He always wants to have his own way.," , ᓇᒻᒥᓂᖅ , ᐃᓕᖅᑯᓯᖃᕈᒪᐃᓐᓇᕐᒪᑦ."
He always works hard.," , ᐊᒃᓱᕈᐃᓐᓇᐅᔭᖅᑐᖅ."
He amused us with a funny story.," , ᑎᑦᑎᓇᖅᑐᒥᒃ , ᐅᓂᒃᑳᓚᐅᕐᒪᑦ."
He and I are almost the same height.," , ᑕᐃᒫᑦᓴᐃᓐᓇᐸᓗᒃ , ᐳᖅᑐᓂᖃᖅᑐᖓ."
He and I are brothers.," , ᓄᑲᕆᒐᒃᑭᒃ."
He and I are cousins.," , ᐃᓪᓗᕆᒐᑦᑎᒃᑯᒃ."
He and I are friends.," , ᐱᖃᓐᓇᕆᒐᓐᓄᒃ."
He and I are kindred spirits.," , ᑕᐃᓐᓇ , ᐊᒻᒪᓗ , ᐃᓄᑦᑎᐊᕙᐅᓪᓗᖓ."
He angrily rattled the locked door.," , ᐹᖓ , ᑮᒃᓯᒪᑎᓪᓗᒍ."
He answered his parents.," , ᑭᐅᓚᐅᖅᑐᖅ , ᐊᖓᔪᖅᑳᒥᓂᒃ."
He answered incorrectly.," , ᑕᒻᒪᖅᑐᓂ , ᑭᐅᕋᑖᕐᖓᑦ."
He answered my question easily.," , ᑭᐅᑦᑕᐅᑎᒋᕋᑖᕐᒪᒍ , ᐊᐱᖅᑯᑎᒐ."
He answered that he could swim well.," , ᑭᐅᓚᐅᖅᑐᖅ , ᐳᐃᔾᔪᕋᕈᓐᓇᕐᓂᕋᑦᑐᓂ."
He appealed to us for help.," , ᐅᕙᑦᑎᓐᓄᑦ , ᐊᔪᐃᓐᓇᕆᐊᒃᑲᓐᓂᓚᐅᖅᑐᖅ , ᐃᑲᔪᖅᑕᐅᔪᒪᓪᓗᓂ."
He appeared at last.," , ᓴᖅᑭᓚᐅᖅᑐᖅ , ᑭᖑᓪᓕᖅᐹᒥ."
He appeared on TV last night.," , ᓴᖅᑭᓚᐅᕐᒪᑦ , ᑕᓚᕖᓴᒃᑯᑦ , ᐅᓐᓄᒃ."
He appeared young.," , ᒪᒃᑯᒃᑑᔮᖅᑐᖅ."
He applied himself to the study of music.," , ᐃᒻᒥᓂᒃ , ᐊᑐᓚᐅᖅᑐᖅ , ᖃᐅᔨᓴᖅᑐᓂ , ᓂᔾᔭᐅᓯᔭᕐᓂᕐᒥᒃ."
He arched his eyebrows in surprise.," , ᐃᔩᒃᑭᒃ , ᖁᒃᓴᓪᓚᒃᑎᖦᖢᓂᒋᑦ."
He arrived after I had left.," , ᑎᑭᒻᒪᑦ , ᐊᓂᒐᒪ."
He arrived after the bell rang.," , ᑎᑭᖦᖢᓂ , ᓯᕙᓂᖅᑎᑕᐅᓚᐅᖅᑎᓪᓗᒍ."
He arrived here last night.," , ᑕᒪᐅᖓ , ᑎᑭᓚᐅᕐᒪᑦ , ᐅᓐᓄᒃ."
He arrived in Tokyo yesterday.," , ᐃᑉᐸᒃᓴᖅ , ᑎᑭᓚᐅᕐᒪᑦ."
He arrived in time.," , ᑎᑭᒻᒪᑦ."
He arrived on time in spite of the rain.," , ᑭᖑᕙᙱᖦᖢᓂ , ᑎᑭᖦᖢᓂ , ᒪᖁᕋᓗᐊᖅᑎᓪᓗᒍ."
He arrived safely.," , ᑎᑭᑦᑎᐊᓚᐅᖅᑐᖅ."
He arrived too early.," , ᑎᑭᓴᕋᐃᓗᐊᓚᐅᕐᒪᑦ."
He asked a few questions of me.," , ᐊᐱᖅᓱᒐᓛᖅᑲᐅᒻᒪᑦ , ᐅᕙᓐᓂᒃ."
He asked a very good question.," , ᐊᐱᖅᑯᑎᑦᑎᐊᕙᒻᒥᒃ , ᐊᐱᕆᕋᑖᕐᒪᑦ."
He asked about you.," , ᐃᓕᓐᓂᒃ , ᐊᐱᕆᖅᑲᐅᒻᒪᑦ."
He asked an awkward question.," , ᐊᐱᕆᑦᑎᐊᕋᑖᕐᒪᑦ , ᐊᑲᐅᑦᑎᐊᙱᑦᑐᒥᒃ."
He asked for a beer.," , ᐱᐊᑖᕈᒪᓚᐅᕐᒪᑦ."
He asked for a pay raise.," , ᐊᐱᕆᖅᑲᐅᒻᒪᑦ , ᑮᓇᐅᔾᔭᔅᓵᖏᑦ , ᐊᑭᑦᑐᕆᐊᖅᑕᐅᔪᒪᓪᓗᓂ."
He asked for money.," , ᑮᓇᐅᔭᓂᒃ , ᑐᒃᓯᕋᖅᑲᐅᒻᒪᑦ."
He asked for my advice.," , ᐊᐱᕆᖅᑲᐅᒻᒪᑦ , ᐅᖃᐅᔾᔭᐅᔪᒪᓪᓗᓂ."
He asked for my help.," , ᐃᑲᔪᖅᑕᐅᔪᒪᓚᐅᕐᒪᑦ."
He asked for my pardon.," , ᐊᐱᕆᖅᑲᐅᒻᒪᑦ , ᐅᕙᖓ , ᐹᓐᑖᓐᒥᒃ."
He asked for some money.," , ᑮᓇᐅᔭᓂᒃ , ᑐᒃᓯᕋᓚᐅᕐᒪᑦ."
He asked for the money.," , ᑮᓇᐅᔭᓂᒃ , ᑐᒃᓯᕋᖅᑲᐅᒻᒪᑦ."
He asked her where she lived.," , ᐊᐱᕆᓪᓗᓂ , ᓇᒥ , ᓄᓇᖃᓚᐅᕐᒪᖔᖅ."
He asked his friends for help.," , ᐱᖃᓐᓇᕆᔭᒥᓂᒃ , ᐊᐱᕆᓪᓗᓂ , ᐃᑲᔪᖅᑕᐅᔪᒪᓪᓗᓂ."
He asked me for help.," , ᐃᑲᔪᖅᑕᐅᔪᒪᓪᓗᓂᖓ."
He asked me if I knew her telephone number.," , ᐊᐱᕆᖅᑲᐅᒻᒫᖓ , ᖃᐅᔨᒪᒻᒪᖔᒃᑯ , ᐅᖄᓚᐅᑎᖓᑕ , ᓈᓴᐅᑎᖓᓂᒃ."
He asked me if I knew his father.," , ᐊᐱᕆᓚᐅᕐᒪᖓ , ᐊᑖᑕᒥᓂᒃ , ᖃᐅᔨᒪᒻᒪᖔᕐᒪ."
"He asked me my age, my name, my address, and so forth."," , ᐊᐱᕆᓚᐅᕐᒪᖓ , ᐅᑭᐅᓐᓂᒃ, , ᐊᑎᕋ, , ᑐᕌᕈᑎᒐ, , ᐊᒻᒪᓗ , ᐊᓯᖏᑦ."
He asked me to help him.," , ᐊᐱᕆᓚᐅᕐᒪᖓ , ᐃᑲᔪᖅᑕᐅᔪᒪᓪᓗᓂᖓ."
He asked me to pass him the salt.," , ᐊᐱᕆᓚᐅᕐᒪᖓ , ᑕᕆᐅᖅ , ᑐᓂᖁᓪᓗᓂᐅᒃ."
He asked me to speak more slowly.," , ᓱᒃᑲᐃᑦᑐᒥᒃ , ᐅᖃᖁᓚᐅᕐᒪᖓ."
He asked me two questions.," , ᒪᕐᕉᓐᓂᒃ , ᐊᐱᕆᖅᑲᐅᒻᒪᖓ."
He asked me what my name was.," , ᐊᐱᕆᖅᑲᐅᒻᒫᖓ , ᐊᑎᕋ , ᑭᓲᒻᒪᖔᖅ."
He asked me where to go.," , ᐊᐱᕆᖅᑲᐅᒻᒫᖓ , ᓇᒧᙵᕆᐊᖃᕐᒪᖔᕐᒪ."
